PRDID,LOCID,KEYFIGUREDATE,SOURCEID,ZADJPRODUCTIONRECEIPTPLT
000000000000564481-1,1568,2026 W09,000000000000564481-115680001S,0
000000000000564482-1,1568,2026 W09,000000000000564482-115680001S,2970
000000000000564483-1,1568,2026 W09,000000000000564483-115680001S,3510
000000000000564551-1,1568,2026 W10,000000000000564551-115680001S,0
000000000000564552-1,1568,2026 W10,000000000000564552-115680001S,0
000000000000564553-1,1568,2026 W10,000000000000564553-115680001S,0
000000000000564701-1,1568,2026 W09,000000000000564701-115680001S,270
000000000000564702-1,1568,2026 W09,000000000000564702-115680001S,0
000000000000564703-1,1568,2026 W09,000000000000564703-115680001S,900
000000000000564815-1,1568,2026 W09,000000000000564815-115680001S,0
000000000000564820-1,1568,2026 W09,000000000000564820-115680001S,0
